Sliding Sketch,Arrivals,ARE
input_num: 115, guess: 1, real: 1
Sl-CM,110,0
input_num: 119, guess: 1, real: 1
Sl-CM,111,0
input_num: 109, guess: 2, real: 2
Sl-CM,112,0
input_num: 80, guess: 3, real: 3
Sl-CM,113,0
input_num: 117, guess: 1, real: 1
Sl-CM,114,0
input_num: 122, guess: 1, real: 1
Sl-CM,115,0
input_num: 116, guess: 3, real: 3
Sl-CM,116,0
input_num: 115, guess: 2, real: 2
Sl-CM,117,0
input_num: 124, guess: 1, real: 1
Sl-CM,118,0
input_num: 122, guess: 2, real: 2
Sl-CM,119,0
input_num: 118, guess: 1, real: 1
Sl-CM,120,0
input_num: 134, guess: 1, real: 1
Sl-CM,121,0
input_num: 91, guess: 6, real: 6
Sl-CM,122,0
input_num: 136, guess: 1, real: 1
Sl-CM,123,0
input_num: 135, guess: 1, real: 1
Sl-CM,124,0
input_num: 137, guess: 1, real: 1
Sl-CM,125,0
input_num: 137, guess: 2, real: 2
Sl-CM,126,0
input_num: 123, guess: 1, real: 1
Sl-CM,127,0
input_num: 136, guess: 2, real: 2
Sl-CM,128,0
input_num: 17, guess: 8, real: 8
Sl-CM,129,0
input_num: 144, guess: 1, real: 1
Sl-CM,130,0
input_num: 147, guess: 1, real: 1
Sl-CM,131,0
input_num: 49, guess: 4, real: 4
Sl-CM,132,0
input_num: 147, guess: 2, real: 2
Sl-CM,133,0
input_num: 50, guess: 6, real: 6
Sl-CM,134,0
input_num: 143, guess: 1, real: 1
Sl-CM,135,0
input_num: 150, guess: 1, real: 1
Sl-CM,136,0
input_num: 153, guess: 1, real: 1
Sl-CM,137,0
input_num: 136, guess: 3, real: 3
Sl-CM,138,0
input_num: 154, guess: 1, real: 1
Sl-CM,139,0
input_num: 156, guess: 1, real: 1
Sl-CM,140,0
input_num: 154, guess: 2, real: 2
Sl-CM,141,0
input_num: 86, guess: 3, real: 3
Sl-CM,142,0
input_num: 86, guess: 4, real: 4
Sl-CM,143,0
input_num: 157, guess: 1, real: 1
Sl-CM,144,0
input_num: 86, guess: 5, real: 5
Sl-CM,145,0
input_num: 161, guess: 1, real: 1
Sl-CM,146,0
input_num: 156, guess: 2, real: 2
Sl-CM,147,0
input_num: 156, guess: 3, real: 3
Sl-CM,148,0
input_num: 157, guess: 2, real: 2
Sl-CM,149,0
